last,first,pos,num,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
HERTL,TOMAS,C,48,35.0,11.0,12.0,12.0,18.0,6.0,10.0,1.0,30.0,34.0,0.0,1.0
KENNEDY,TYLER,C,48,16.0,11.0,2.0,3.0,9.0,4.0,3.0,0.0,15.0,15.0,1.0,0.0
HINOSTROZA,VINCENT,C,48,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0
CAMPBELL,ANDREW,D,48,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MILLER,COLIN,D,48,6.0,1.0,1.0,4.0,1.0,4.0,1.0,0.0,6.0,6.0,0.0,0.0
LINDBOHM,PETTERI,D,48,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
MARTINOOK,JORDAN,L,48,52.0,16.0,16.0,20.0,16.0,21.0,15.0,0.0,36.0,37.0,0.0,15.0
SHAW,LOGAN,R,48,21.0,8.0,10.0,3.0,6.0,5.0,10.0,0.0,18.0,18.0,1.0,2.0
SIMON,DOMINIK,C,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHINKARUK,HUNTER,C,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASK,VICTOR,C,49,42.0,13.0,15.0,14.0,16.0,11.0,13.0,2.0,38.0,41.0,1.0,0.0
CLAESSON,FREDRIK,D,49,9.0,3.0,2.0,4.0,2.0,4.0,3.0,0.0,9.0,9.0,0.0,0.0
LEIGHTON,MICHAEL,G,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIPSIC,BRENDAN,L,49,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0
TANGRADI,ERIC,L,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERSCH,MICHAEL,L,49,3.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0
GALIEV,STANISLAV,R,49,6.0,4.0,2.0,0.0,2.0,1.0,3.0,0.0,6.0,6.0,0.0,0.0
EKBLAD,AARON,D,5,24.0,2.0,9.0,13.0,3.0,12.0,9.0,0.0,18.0,20.0,1.0,3.0
LARSSON,ADAM,D,5,22.0,2.0,3.0,17.0,8.0,10.0,4.0,0.0,19.0,19.0,0.0,3.0
JACKMAN,BARRET,D,5,8.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,8.0,8.0,0.0,0.0
RUHWEDEL,CHAD,D,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLIN,CHRISTIAN,D,5,4.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0
CECI,CODY,D,5,15.0,0.0,3.0,12.0,5.0,4.0,6.0,0.0,12.0,13.0,0.0,2.0
MURPHY,CONNOR,D,5,21.0,5.0,2.0,14.0,8.0,4.0,8.0,1.0,16.0,20.0,0.0,1.0
GIRARDI,DAN,D,5,23.0,4.0,1.0,18.0,9.0,9.0,5.0,0.0,19.0,19.0,2.0,2.0
RUNDBLAD,DAVID,D,5,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0
WARSOFSKY,DAVID,D,5,3.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0
MCBAIN,JAMIE,D,5,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
OLEKSIAK,JAMIE,D,5,4.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0
GARRISON,JASON,D,5,15.0,4.0,1.0,10.0,4.0,7.0,4.0,0.0,12.0,12.0,0.0,3.0
HOLZER,KORBINIAN,D,5,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
SBISA,LUCA,D,5,5.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0
FAYNE,MARK,D,5,13.0,0.0,2.0,11.0,4.0,4.0,5.0,0.0,13.0,13.0,0.0,0.0
GIORDANO,MARK,D,5,45.0,6.0,6.0,33.0,18.0,13.0,11.0,3.0,32.0,35.0,5.0,5.0
STUART,MARK,D,5,3.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
GUENIN,NATE,D,5,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
HANIFIN,NOAH,D,5,42.0,9.0,8.0,25.0,12.0,13.0,14.0,3.0,31.0,35.0,6.0,1.0
VERMETTE,ANTOINE,C,50,27.0,9.0,10.0,8.0,9.0,8.0,9.0,1.0,20.0,21.0,3.0,3.0
GAUNCE,BRENDAN,C,50,11.0,2.0,3.0,6.0,6.0,4.0,0.0,1.0,5.0,6.0,0.0,5.0
TIERNEY,CHRIS,C,50,31.0,13.0,8.0,10.0,8.0,15.0,8.0,0.0,26.0,26.0,0.0,5.0
PELECH,ADAM,D,50,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
SIELOFF,PATRICK,D,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERCY,STUART,D,50,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CRAWFORD,COREY,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSTAVSSON,JONAS,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BINNINGTON,JORDAN,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDLEVSKIS,KRISTERS,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIEUWEN,NATHAN,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHALEK,STEVE,G,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANDER,ANTON,C,51,23.0,9.0,6.0,8.0,14.0,3.0,6.0,0.0,17.0,17.0,0.0,6.0
DESHARNAIS,DAVID,C,51,27.0,10.0,8.0,9.0,7.0,15.0,5.0,0.0,24.0,26.0,1.0,0.0
NIELSEN,FRANS,C,51,30.0,5.0,6.0,19.0,11.0,10.0,9.0,0.0,24.0,27.0,0.0,3.0
SPOONER,RYAN,C,51,25.0,10.0,6.0,9.0,9.0,8.0,8.0,0.0,24.0,24.0,1.0,0.0
KALININ,SERGEY,C,51,25.0,13.0,7.0,5.0,8.0,11.0,6.0,0.0,22.0,22.0,2.0,1.0
FILPPULA,VALTTERI,C,51,30.0,12.0,8.0,10.0,12.0,8.0,10.0,0.0,23.0,24.0,2.0,4.0
CAMPBELL,BRIAN,D,51,23.0,3.0,4.0,16.0,13.0,5.0,5.0,0.0,17.0,20.0,0.0,3.0
POULIOT,DERRICK,D,51,6.0,0.0,2.0,4.0,1.0,3.0,2.0,0.0,6.0,6.0,0.0,0.0
TYUTIN,FEDOR,D,51,7.0,0.0,3.0,4.0,3.0,3.0,1.0,0.0,5.0,5.0,0.0,2.0
GARDINER,JAKE,D,51,33.0,5.0,5.0,23.0,6.0,13.0,14.0,0.0,30.0,31.0,1.0,1.0
WATSON,AUSTIN,L,51,11.0,5.0,4.0,2.0,3.0,4.0,4.0,0.0,9.0,9.0,0.0,2.0
AGOSTINO,KENNY,L,51,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
HOLLOWAY,BUD,C,52,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
COUSINS,NICK,C,52,18.0,9.0,3.0,6.0,7.0,5.0,6.0,0.0,18.0,18.0,0.0,0.0
GUSTAFSSON,ERIK,D,52,9.0,2.0,0.0,7.0,3.0,3.0,2.0,1.0,7.0,8.0,1.0,0.0
ERICSSON,JONATHAN,D,52,14.0,2.0,7.0,5.0,8.0,3.0,3.0,0.0,9.0,9.0,0.0,5.0
SCHENN,LUKE,D,52,8.0,0.0,1.0,7.0,6.0,2.0,0.0,0.0,7.0,7.0,1.0,0.0
MARINCIN,MARTIN,D,52,25.0,2.0,5.0,18.0,9.0,7.0,9.0,0.0,18.0,19.0,0.0,6.0
IRWIN,MATT,D,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLLIG,BRANDON,L,52,11.0,2.0,7.0,2.0,5.0,3.0,3.0,0.0,11.0,11.0,0.0,0.0
JOHNSTON,ROSS,L,52,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
FASCHING,HUDSON,R,52,4.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0
HORVAT,BO,C,53,27.0,15.0,3.0,9.0,8.0,9.0,10.0,0.0,22.0,22.0,0.0,5.0
CIZIKAS,CASEY,C,53,58.0,15.0,11.0,32.0,16.0,18.0,24.0,0.0,44.0,46.0,0.0,12.0
KNIGHT,CORBAN,C,53,6.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0
SKINNER,JEFF,C,53,77.0,49.0,18.0,10.0,23.0,21.0,32.0,1.0,71.0,75.0,2.0,0.0
CARRICK,SAM,C,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINS,SEAN,C,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIFFITH,SETH,C,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAVEL,KEVIN,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITKOWSKI,LUKE,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOSTISBEHERE,SHAYNE,D,53,28.0,8.0,7.0,13.0,6.0,11.0,11.0,0.0,24.0,26.0,2.0,0.0
THEODORE,SHEA,D,53,10.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,7.0,7.0,0.0,3.0
MOZIK,VOJTECH,D,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASHINTER,BRANDON,L,53,6.0,1.0,5.0,0.0,2.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0
LESSIO,LUCAS,L,53,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
GAUTHIER,FREDERIK,C,54,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQUAID,ADAM,D,54,7.0,2.0,1.0,4.0,4.0,1.0,2.0,0.0,7.0,7.0,0.0,0.0
PESCE,BRETT,D,54,43.0,8.0,9.0,26.0,17.0,14.0,12.0,0.0,38.0,40.0,1.0,2.0
HUDON,CHARLES,L,54,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
KHAIRA,JUJHAR,L,54,6.0,5.0,0.0,1.0,3.0,2.0,1.0,0.0,6.0,6.0,0.0,0.0
BULMER,BRETT,R,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETESTU,MARK,C,55,28.0,11.0,2.0,15.0,13.0,7.0,8.0,0.0,17.0,19.0,1.0,8.0
SCHEIFELE,MARK,C,55,61.0,25.0,12.0,24.0,30.0,14.0,12.0,5.0,53.0,60.0,1.0,0.0
ACCIARI,NOEL,C,55,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
NESS,AARON,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIEGA,ALEX,D,55,8.0,4.0,1.0,3.0,4.0,2.0,2.0,0.0,8.0,8.0,0.0,0.0
COBURN,BRAYDON,D,55,17.0,2.0,4.0,11.0,7.0,6.0,4.0,0.0,13.0,14.0,0.0,3.0
SUMMERS,CHRIS,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EHRHOFF,CHRISTIAN,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARAYKO,COLTON,D,55,33.0,3.0,8.0,22.0,12.0,7.0,14.0,0.0,29.0,31.0,0.0,2.0
SCHULTZ,JEFF,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMAGE,JOHN,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOYCHUK,JOHNNY,D,55,21.0,5.0,3.0,13.0,11.0,7.0,3.0,0.0,19.0,19.0,0.0,2.0
SCHULTZ,NICK,D,55,4.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0
KRONWALL,NIKLAS,D,55,9.0,3.0,0.0,6.0,4.0,0.0,4.0,1.0,6.0,8.0,1.0,0.0
RISTOLAINEN,RASMUS,D,55,20.0,4.0,0.0,16.0,8.0,6.0,5.0,1.0,14.0,15.0,1.0,4.0
LOOV,VIKTOR,D,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLEOD,CODY,L,55,6.0,2.0,1.0,3.0,2.0,1.0,3.0,0.0,6.0,6.0,0.0,0.0
ROBINSON,BUDDY,R,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIESEN,ALEX,C,56,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
FROESE,BYRON,C,56,20.0,7.0,4.0,9.0,6.0,9.0,5.0,0.0,15.0,16.0,0.0,4.0
DANO,MARKO,C,56,10.0,5.0,2.0,3.0,3.0,4.0,3.0,0.0,10.0,10.0,0.0,0.0
MATHESON,MICHAEL,D,56,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
CROSS,TOMMY,D,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIETILA,BLAKE,L,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODS,BRENDAN,L,56,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
HAULA,ERIK,L,56,34.0,13.0,14.0,7.0,11.0,12.0,11.0,0.0,27.0,28.0,0.0,6.0
FIALA,KEVIN,L,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAAJARVI,MAGNUS,L,56,8.0,4.0,1.0,3.0,2.0,2.0,4.0,0.0,7.0,7.0,0.0,1.0
BECK,TAYLOR,L,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULKKINEN,TEEMU,L,56,12.0,9.0,1.0,2.0,1.0,5.0,6.0,0.0,11.0,11.0,1.0,0.0
BAILEY,JUSTIN,R,56,4.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0
GRANT,DEREK,C,57,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0
WINGELS,TOMMY,C,57,21.0,9.0,5.0,7.0,11.0,6.0,4.0,0.0,18.0,18.0,0.0,3.0
VAN RIEMSDYK,TREVOR,D,57,17.0,4.0,3.0,10.0,4.0,4.0,8.0,1.0,14.0,16.0,0.0,1.0
MYERS,TYLER,D,57,45.0,8.0,8.0,29.0,18.0,12.0,15.0,0.0,31.0,33.0,4.0,8.0
PERRON,DAVID,L,57,22.0,15.0,2.0,5.0,7.0,11.0,4.0,0.0,20.0,20.0,2.0,0.0
BOURQUE,GABRIEL,L,57,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
MILLER,ANDREW,C,58,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
CARRICK,CONNOR,D,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVARD,DAVID,D,58,14.0,4.0,0.0,10.0,2.0,7.0,5.0,0.0,10.0,11.0,2.0,1.0
LETANG,KRIS,D,58,47.0,6.0,7.0,34.0,15.0,11.0,19.0,2.0,35.0,37.0,5.0,5.0
KYLINGTON,OLIVER,D,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEDUN,TAYLOR,D,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIER,TAYLOR,L,58,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0
SCHALLER,TIM,C,59,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
JOSI,ROMAN,D,59,21.0,5.0,0.0,16.0,5.0,8.0,8.0,0.0,15.0,17.0,1.0,3.0
DZIURZYNSKI,DAVE,L,59,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
BURMISTROV,ALEXANDER,C,6,36.0,18.0,8.0,10.0,11.0,13.0,11.0,1.0,28.0,29.0,1.0,6.0
PARDY,ADAM,D,6,4.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0
PETROVIC,ALEX,D,6,9.0,0.0,2.0,7.0,2.0,2.0,5.0,0.0,8.0,8.0,0.0,1.0
GREENE,ANDY,D,6,26.0,1.0,2.0,23.0,8.0,10.0,7.0,1.0,19.0,22.0,0.0,4.0
STRALMAN,ANTON,D,6,26.0,6.0,5.0,15.0,5.0,8.0,13.0,0.0,22.0,23.0,1.0,2.0
WIDEMAN,DENNIS,D,6,14.0,0.0,4.0,10.0,5.0,4.0,5.0,0.0,11.0,12.0,0.0,2.0
MCILRATH,DYLAN,D,6,9.0,3.0,2.0,4.0,5.0,1.0,3.0,0.0,9.0,9.0,0.0,0.0
JOHNSON,ERIK,D,6,30.0,4.0,9.0,17.0,10.0,14.0,6.0,0.0,24.0,25.0,1.0,4.0
PATERYN,GREG,D,6,12.0,3.0,0.0,9.0,5.0,3.0,4.0,0.0,11.0,11.0,0.0,1.0
MUZZIN,JAKE,D,6,13.0,0.0,1.0,12.0,2.0,6.0,5.0,0.0,9.0,11.0,0.0,2.0
EDMUNDSON,JOEL,D,6,7.0,1.0,2.0,4.0,2.0,3.0,2.0,0.0,7.0,7.0,0.0,0.0
SCANDELLA,MARCO,D,6,23.0,3.0,2.0,18.0,9.0,10.0,3.0,1.0,18.0,20.0,1.0,2.0
WEBER,MIKE,D,6,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
PULOCK,RYAN,D,6,3.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0
WEBER,SHEA,D,6,19.0,3.0,3.0,13.0,7.0,8.0,3.0,1.0,8.0,9.0,3.0,7.0
DALEY,TREVOR,D,6,17.0,3.0,2.0,12.0,4.0,8.0,5.0,0.0,14.0,16.0,1.0,0.0
WEBER,YANNICK,D,6,10.0,0.0,5.0,5.0,2.0,3.0,5.0,0.0,10.0,10.0,0.0,0.0
RYAN,BOBBY,R,6,52.0,20.0,16.0,16.0,17.0,20.0,12.0,3.0,47.0,50.0,2.0,0.0
GRANLUND,MARKUS,C,60,19.0,8.0,6.0,5.0,10.0,5.0,4.0,0.0,17.0,17.0,0.0,2.0
TREUTLE,NIKLAS,G,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENOIT,ANDRE,D,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KULAK,BRETT,D,61,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0
BRAUN,JUSTIN,D,61,33.0,0.0,1.0,32.0,13.0,10.0,10.0,0.0,29.0,29.0,0.0,4.0
OUELLET,XAVIER,D,61,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
NASH,RICK,L,61,45.0,18.0,6.0,21.0,18.0,16.0,11.0,0.0,35.0,36.0,2.0,7.0
PLOTNIKOV,SERGEI,L,61,11.0,5.0,3.0,3.0,4.0,4.0,3.0,0.0,11.0,11.0,0.0,0.0
TOLCHINSKY,SERGEY,L,61,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
STONE,MARK,R,61,128.0,48.0,35.0,45.0,50.0,41.0,31.0,6.0,106.0,117.0,0.0,11.0
SUSTR,ANDREJ,D,62,16.0,1.0,2.0,13.0,3.0,7.0,6.0,0.0,13.0,14.0,0.0,2.0
GRYBA,ERIC,D,62,16.0,1.0,2.0,13.0,4.0,3.0,7.0,2.0,11.0,13.0,0.0,3.0
TROTMAN,ZACH,D,62,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
HAGELIN,CARL,L,62,15.0,10.0,2.0,3.0,3.0,7.0,5.0,0.0,8.0,9.0,0.0,6.0
WAGNER,CHRIS,R,62,3.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0
MARCHAND,BRAD,C,63,43.0,20.0,12.0,11.0,19.0,13.0,9.0,2.0,31.0,35.0,0.0,8.0
BOLLAND,DAVE,C,63,5.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0
RIBEIRO,MIKE,C,63,22.0,11.0,4.0,7.0,8.0,7.0,7.0,0.0,21.0,21.0,1.0,0.0
ENNIS,TYLER,C,63,11.0,7.0,2.0,2.0,7.0,2.0,2.0,0.0,11.0,11.0,0.0,0.0
GABRIEL,KURTIS,R,63,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
BLANDISI,JOSEPH,C,64,19.0,9.0,3.0,7.0,5.0,10.0,4.0,0.0,17.0,18.0,1.0,0.0
GRANLUND,MIKAEL,C,64,51.0,19.0,14.0,18.0,17.0,12.0,20.0,2.0,43.0,46.0,4.0,1.0
BARTLEY,VICTOR,D,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
